"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20241001";"20250904";"10RR";"00";"Opb BS De Klimop";"4315AW";"DREISCHOR";"1676";"Schouwen-Duiveland";"Zeeland";"Bo";"Openbaar";"41557";"0";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0"
"20241001";"20250904";"10RS";"00";"Julianaschool";"7218AH";"ALMEN";"0262";"Lochem";"Gelderland";"Bo";"Openbaar";"42561";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5"
"20241001";"20250904";"10RY";"00";"KC De Klimtoren";"7705PD";"DROGTEROPSLAGEN";"1690";"De Wolden";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"<5";"0"
"20241001";"20250904";"10SG";"00";"Bonnerschool";"9461AC";"GIETEN";"1680";"Aa en Hunze";"Drenthe";"Bo";"Openbaar";"41899";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"10SH";"00";"OBS De Kern";"7773DE";"HARDENBERG";"0160";"Hardenberg";"Overijssel";"Bo";"Openbaar";"41630";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"8";"<5";"0"
"20241001";"20250904";"10SO";"00";"Griftschool";"3931AB";"WOUDENBERG";"0351";"Woudenberg";"Utrecht";"Bo";"Openbaar";"41481";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5"
"20241001";"20250904";"10SO";"01";"Basisschool De Dorpsbeuk";"3925JL";"SCHERPENZEEL GLD";"0279";"Scherpenzeel";"Gelderland";"Bo";"Openbaar";"41481";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"8";"5";"0"
"20241001";"20250904";"10SX";"00";"Basisschool 't Palet";"3832JN";"LEUSDEN";"0327";"Leusden";"Utrecht";"Bo";"Openbaar";"41886";"0";"0";"0";"<5";"0";"5";"<5";"13";"15";"12";"10";"0"
"20241001";"20250904";"10SZ";"00";"OBS Futura";"9679JE";"SCHEEMDA";"1895";"Oldambt";"Groningen";"Bo";"Openbaar";"41613";"0";"0";"0";"<5";"<5";"<5";"6";"7";"6";"7";"<5";"0"
"20241001";"20250904";"10TA";"00";"OBS Het Oelebred";"9482PP";"TYNAARLO";"1730";"Tynaarlo";"Drenthe";"Bo";"Openbaar";"41851";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"0"
