"PEILDATUM_LEERLINGEN";"PRIKDATUM_ADVIEZEN";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20221001";"20230501";"05PH";"00";"Chr Basissch Mons Sinai";"9677PA";"HEILIGERLEE";"1895";"Oldambt";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0"
"20221001";"20230501";"05PJ";"00";"CNS De Kievitsheuvel";"4174GM";"HELLOUW";"1960";"West Betuwe";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"<5";"<5";"0";"0";"0";"<5";"0";"<5";"5";"0";"0"
"20221001";"20230501";"05PM";"00";"Basisschool De Skulpe";"8713JB";"HINDELOOPEN";"1900";"SÂ·dwest-FryslÃn";"Friesland";"Bo";"Protestants-Christelijk";"41856";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"<5";"0"
"20221001";"20230501";"05PO";"00";"Bosbergschool";"3739KM";"HOLLANDSCHE RADING";"310";"De Bilt";"Utrecht";"Bo";"Protestants-Christelijk";"75753";"0";"0";"0";"0";"0";"0";"<5";"0";"5";"0";"<5";"0"
"20221001";"20230501";"05PQ";"00";"Chr Bs Hoogengraven";"7737PG";"STEGEREN";"175";"Ommen";"Overijssel";"Bo";"Protestants-Christelijk";"42744";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0"
"20221001";"20230501";"05PR";"00";"Basisschool De Zaaier";"7711HE";"NIEUWLEUSEN";"148";"Dalfsen";"Overijssel";"Bo";"Protestants-Christelijk";"41651";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"8";"6";"0"
"20221001";"20230501";"05PS";"00";"Basisschool De Meele";"7711EP";"NIEUWLEUSEN";"148";"Dalfsen";"Overijssel";"Bo";"Protestants-Christelijk";"41651";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"05PX";"00";"Chr Basissch De Trieme";"8464VL";"SINTJOHANNESGA";"1940";"De Fryske Marren";"Friesland";"Bo";"Protestants-Christelijk";"42540";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"05QA";"00";"Ds Johan v d Wendeschool";"8267AH";"KAMPEN";"166";"Kampen";"Overijssel";"Bo";"Protestants-Christelijk";"41125";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0"
"20221001";"20230501";"05QB";"00";"School Met De Bijbel";"8278BC";"KAMPERVEEN";"166";"Kampen";"Overijssel";"Bo";"Protestants-Christelijk";"41125";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"1676";"Schouwen-Duiveland";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"<5";"<5"
"20221001";"20230501";"05QE";"00";"Chr Basissch Merlettes";"9288AM";"KOOTSTERTILLE";"59";"Achtkarspelen";"Friesland";"Bo";"Protestants-Christelijk";"41005";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0"
"20221001";"20230501";"05QF";"00";"SWS De Groene Borg";"9864PB";"KORNHORN";"1969";"Westerkwartier";"Groningen";"Bo";"Protestants-Christelijk";"41571";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0"
"20221001";"20230501";"05QH";"00";"Eben Haezer";"2965CC";"NIEUWPOORT";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Protestants-Christelijk";"42559";"0";"0";"<5";"<5";"<5";"0";"6";"0";"5";"<5";"<5";"0"
"20221001";"20230501";"05QI";"00";"Basisschool De Wegwijzer";"3465TK";"DRIEBRUGGEN";"1901";"Bodegraven-Reeuwijk";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"8";"<5";"<5";"0"
