"PEILDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"REKENEN_LAGER1F";"REKENEN_1F";"REKENEN_1S";"REKENEN_2F";"LV_LAGER1F";"LV_1F";"LV_2F";"TV_LAGER1F";"TV_1F";"TV_2F"
"20231001";"16ZG";"00";"OBS De Achtbaan";"1324VD";"ALMERE";"34";"Almere";"Flevoland";"Bo";"Openbaar";"41676";"5";"13";"10";"0";"0";"6";"22";"0";"21";"7"
"20231001";"16ZJ";"00";"RK.Bs.OLV van Fatima";"4702GW";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Rooms-Katholiek";"74154";"0";"16";"23";"0";"0";"8";"31";"<5";"18";"20"
"20231001";"16ZM";"00";"De Schakel";"3191ED";"HOOGVLIET ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Rooms-Katholiek";"24597";"<5";"17";"7";"0";"0";"10";"15";"0";"18";"7"
"20231001";"16ZO";"00";"RK Basissch St Victor";"2211LH";"NOORDWIJKERHOUT";"575";"Noordwijk";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40967";"<5";"17";"24";"0";"0";"8";"36";"0";"22";"22"
"20231001";"16ZP";"00";"Ds W E Den Hertog School";"2552RA";"'S-GRAVENHAGE";"518";"'s-Gravenhage";"Zuid-Holland";"Bo";"Protestants-Christelijk";"70176";"<5";"20";"8";"0";"<5";"15";"13";"<5";"15";"13"
"20231001";"16ZS";"00";"De Sluis";"8244AJ";"LELYSTAD";"995";"Lelystad";"Flevoland";"Bo";"Openbaar";"42552";"6";"8";"7";"0";"0";"7";"14";"0";"15";"6"
"20231001";"16ZT";"00";"Ai1S De Zuidsprong";"7544XC";"ENSCHEDE";"153";"Enschede";"Overijssel";"Bo";"Openbaar";"41565";"<5";"9";"5";"0";"0";"7";"9";"0";"7";"9"
"20231001";"16ZX";"00";"OBS De Kameleon";"1316CS";"ALMERE";"34";"Almere";"Flevoland";"Bo";"Openbaar";"41676";"<5";"6";"6";"0";"0";"5";"10";"0";"11";"<5"
"20231001";"16ZY";"00";"Openb Montessorischool";"1621CR";"HOORN NH";"405";"Hoorn";"Noord-Holland";"Bo";"Openbaar";"41772";"<5";"17";"19";"0";"0";"7";"30";"<5";"14";"22"
"20231001";"16ZZ";"00";"RK BS Joseph";"4702AZ";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Rooms-Katholiek";"74154";"<5";"8";"10";"0";"0";"6";"14";"0";"<5";"17"
"20231001";"17AB";"00";"Mr van Eijck";"3079HK";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Rooms-Katholiek";"24597";"6";"23";"6";"0";"<5";"16";"16";"<5";"14";"19"
"20231001";"17AC";"00";"Lidwinaschool";"1098KM";"AMSTERDAM";"363";"Amsterdam";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"9";"24";"15";"0";"<5";"<5";"43";"0";"33";"15"
