"PEILDATUM_LEERLINGEN";"PRIKDATUM_SCORES";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"CET_AANTAL";"CET_GEM";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM"
"20221001";"20230601";"04VQ";"00";"CBS Freule van Pallandt";"4182CB";"NEERIJNEN";"1960";"West Betuwe";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"8";535,5;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04VR";"00";"Basissch De Kinderbrug";"2375XE";"RIJPWETERING";"1884";"Kaag en Braassem";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"23";537,913043478261;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04VS";"00";"Basisschool De Wegwijzer";"5943AR";"LOMM";"983";"Venlo";"Limburg";"Bo";"Rooms-Katholiek";"41018";"<5";"0";0;"0";0;"0";0;"0";0;"8";354,75
"20221001";"20230601";"04VT";"00";"Basissch De Zevensprong";"5431JZ";"CUIJK";"1982";"Land van Cuijk";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"21";534,904761904762;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04VV";"00";"CBS De Verrekijker";"4287LS";"WAARDHUIZEN";"1959";"Altena";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41239";"0";"10";533,8;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04VW";"00";"Kon Wilhelmina-School";"7103WJ";"WINTERSWIJK";"294";"Winterswijk";"Gelderland";"Bo";"Protestants-Christelijk";"41787";"0";"0";0;"25";75,84;"0";0;"0";0;"0";0
"20221001";"20230601";"04VX";"00";"Basisschool Herman Jozef";"5258HV";"BERLICUM NB";"845";"Sint-Michielsgestel";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";0;"0";0;"20";208,3;"0";0;"0";0
"20221001";"20230601";"04VY";"00";"PC Basisschool Marimba";"5402HM";"UDEN";"1991";"Maashorst";"Noord-Brabant";"Bo";"Protestants-Christelijk";"32177";"0";"0";0;"0";0;"24";198,708333333333;"0";0;"0";0
"20221001";"20230601";"04WC";"00";"IKC Succesbos";"7021HH";"ZELHEM";"1876";"Bronckhorst";"Gelderland";"Bo";"Algemeen bijzonder";"41011";"0";"0";0;"8";76,625;"0";0;"0";0;"0";0
"20221001";"20230601";"04WD";"00";"PC Basissch W Alexander";"7887EE";"ERICA";"114";"Emmen";"Drenthe";"Bo";"Protestants-Christelijk";"41551";"<5";"0";0;"0";0;"7";206,428571428571;"0";0;"0";0
"20221001";"20230601";"04WG";"00";"School Muhring";"3311NZ";"DORDRECHT";"505";"Dordrecht";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41184";"0";"31";539,677419354839;"0";0;"0";0;"0";0;"0";0
