"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM";"DOE_AANTAL";"DOE_GEM";"LIB_AANTAL";"LIB_GEM"
"20231001";"20240904";"04OB";"00";"Basisschool De Wegwijzer";"3959AM";"OVERBERG";"1581";"Utrechtse Heuvelrug";"Utrecht";"Bo";"Protestants-Christelijk";"41621";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"8";"176,625000000000"
"20231001";"20240904";"04OC";"00";"De Open Poort";"4147BL";"ASPEREN";"1960";"West Betuwe";"Gelderland";"Bo";"Protestants-Christelijk";"41396";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"19";"177,842105263158"
"20231001";"20240904";"04OE";"00";"Jenaplanschool 't Sterrenpad";"9364PB";"NUIS";"1969";"Westerkwartier";"Groningen";"Bo";"Protestants-Christelijk";"45000";"0";"19";"71,2105263157895";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04OF";"00";"PC Basissch De Bongerd";"7443RS";"NIJVERDAL";"163";"Hellendoorn";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"21";"180,047619047619"
"20231001";"20240904";"04OH";"00";"Kon Wilhelmina-School";"2051NG";"OVERVEEN";"377";"Bloemendaal";"Noord-Holland";"Bo";"Protestants-Christelijk";"85255";"0";"31";"85,5806451612903";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04OL";"00";"Goede Herderschool v Bo";"3853LN";"ERMELO";"233";"Ermelo";"Gelderland";"Bo";"Protestants-Christelijk";"34893";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"28";"177,500000000000"
"20231001";"20240904";"04OM";"00";"Graaf Jan v Nassauschool";"2805JE";"GOUDA";"513";"Gouda";"Zuid-Holland";"Bo";"Reformatorisch";"34919";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"55";"173,454545454545"
"20231001";"20240904";"04ON";"00";"Koningin Beatrixschool";"2525TN";"'S-GRAVENHAGE";"518";"'s-Gravenhage";"Zuid-Holland";"Bo";"Protestants-Christelijk";"34932";"23";"36";"71,8055555555556";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04ON";"01";"Tamarschool";"2545NL";"'S-GRAVENHAGE";"518";"'s-Gravenhage";"Zuid-Holland";"Bo";"Protestants-Christelijk";"34932";"7";"36";"77,6111111111111";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04OR";"00";"Prins Maurits";"3247DV";"DIRKSLAND";"1924";"Goeree-Overflakkee";"Zuid-Holland";"Bo";"Protestants-Christelijk";"42632";"<5";"34";"77,5882352941177";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
